id,year_film,year_award,ceremony,category,nominee,title,win
0,1943,1944,1,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katina Paxinou,FOR WHOM THE BELL TOLLS,True
1,1943,1944,1,Best Performance by an Actor in a Supporting Role in any Motion Picture,Akim Tamiroff,FOR WHOM THE BELL TOLLS,True
2,1943,1944,1,Best Director - Motion Picture,Henry King,THE SONG OF BERNADETTE,True
3,1943,1944,1,Picture,The Song Of Bernadette,THE SONG OF BERNADETTE,True
4,1943,1944,1,Actress In A Leading Role,Jennifer Jones,THE SONG OF BERNADETTE,True
5,1943,1944,1,Actor In A Leading Role,Paul Lukas,WATCH ON THE RHINE,True
6,1944,1945,2,Best Performance by an Actress in a Supporting Role in any Motion Picture,Agnes Moorehead,MRS. PARKINGTON,True
7,1944,1945,2,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barry Fitzgerald,GOING MY WAY,True
8,1944,1945,2,Best Director - Motion Picture,Leo McCarey,GOING MY WAY,True
9,1944,1945,2,Picture,Going My Way,GOING MY WAY,True
10,1944,1945,2,Actress In A Leading Role,Ingrid Bergman,GASLIGHT,True
11,1944,1945,2,Actor In A Leading Role,Alexander Knox,WILSON,True
12,1945,1946,3,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,THE PICTURE OF DORIAN GRAY,True
13,1945,1946,3,Best Performance by an Actor in a Supporting Role in any Motion Picture,J. Carroll Naish,A MEDAL FOR BENNY,True
14,1945,1946,3,Best Director - Motion Picture,Billy Wilder,THE LOST WEEKEND,True
15,1945,1946,3,Promoting International Understanding,Frank Sinatra,THE HOUSE I LIVE IN,True
16,1945,1946,3,Picture,The Lost Weekend,THE LOST WEEKEND,True
17,1945,1946,3,Actress In A Leading Role,Ingrid Bergman,THE BELLS OF ST. MARY'S,True
18,1945,1946,3,Actor In A Leading Role,Ray Milland,THE LOST WEEKEND,True
19,1946,1947,4,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Baxter,THE RAZOR'S EDGE,True
20,1946,1947,4,Best Performance by an Actor in a Supporting Role in any Motion Picture,Clifton Webb,THE RAZOR'S EDGE,True
21,1946,1947,4,Best Director - Motion Picture,Frank Capra,IT'S A WONDERFUL LIFE,True
22,1946,1947,4,Promoting International Understanding,"Switzerland, Leopold Lindtberg",THE LAST CHANCE,True
23,1946,1947,4,Special Achievement Award,Harold Russell,THE BEST YEARS OF OUR LIVES,False
24,1946,1947,4,Picture,The Best Years Of Our Lives,THE BEST YEARS OF OUR LIVES,True
25,1946,1947,4,Actress In A Leading Role,Rosalind Russell,SISTER KENNY,True
26,1946,1947,4,Actor In A Leading Role,Gregory Peck,THE YEARLING,True
27,1947,1948,5,Best Performance by an Actress in a Supporting Role in any Motion Picture,Celeste Holm,GENTLEMAN'S AGREEMENT,True
28,1947,1948,5,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,MIRACLE ON 34TH STREET,True
29,1947,1948,5,Best Director - Motion Picture,Elia Kazan,GENTLEMAN'S AGREEMENT,True
