year_film,year_award,ceremony,category,nominee,title,win
1943,1944,1,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katina Paxinou,For Whom The Bell Tolls,TRUE
1943,1944,1,Best Performance by an Actor in a Supporting Role in any Motion Picture,Akim Tamiroff,For Whom The Bell Tolls,TRUE
1943,1944,1,Best Director - Motion Picture,Henry King,The Song Of Bernadette,TRUE
1943,1944,1,Picture,The Song Of Bernadette,,TRUE
1943,1944,1,Actress In A Leading Role,Jennifer Jones,The Song Of Bernadette,TRUE
1943,1944,1,Actor In A Leading Role,Paul Lukas,Watch On The Rhine,TRUE
1944,1945,2,Best Performance by an Actress in a Supporting Role in any Motion Picture,Agnes Moorehead,Mrs. Parkington,TRUE
1944,1945,2,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barry Fitzgerald,Going My Way,TRUE
1944,1945,2,Best Director - Motion Picture,Leo McCarey,Going My Way,TRUE
1944,1945,2,Picture,Going My Way,,TRUE
1944,1945,2,Actress In A Leading Role,Ingrid Bergman,Gaslight,TRUE
1944,1945,2,Actor In A Leading Role,Alexander Knox,Wilson,TRUE
1945,1946,3,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,The Picture of Dorian Gray,TRUE
1945,1946,3,Best Performance by an Actor in a Supporting Role in any Motion Picture,J. Carroll Naish,A Medal For Benny,TRUE
1945,1946,3,Best Director - Motion Picture,Billy Wilder,The Lost Weekend,TRUE
1945,1946,3,Promoting International Understanding,Frank Sinatra,The House I Live In,TRUE
1945,1946,3,Picture,The Lost Weekend,,TRUE
1945,1946,3,Actress In A Leading Role,Ingrid Bergman,The Bells of St. Mary's,TRUE
1945,1946,3,Actor In A Leading Role,Ray Milland,The Lost Weekend,TRUE
1946,1947,4,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Baxter,The Razor's Edge,TRUE
1946,1947,4,Best Performance by an Actor in a Supporting Role in any Motion Picture,Clifton Webb,The Razor's Edge,TRUE
1946,1947,4,Best Director - Motion Picture,Frank Capra,It's A Wonderful Life,TRUE
1946,1947,4,Promoting International Understanding,"Switzerland, Leopold Lindtberg",The Last Chance,TRUE
1946,1947,4,Special Achievement Award,Harold Russell,The Best Years Of Our Lives,FALSE
1946,1947,4,Picture,The Best Years Of Our Lives,,TRUE
1946,1947,4,Actress In A Leading Role,Rosalind Russell,Sister Kenny,TRUE
1946,1947,4,Actor In A Leading Role,Gregory Peck,The Yearling,TRUE
1947,1948,5,Best Performance by an Actress in a Supporting Role in any Motion Picture,Celeste Holm,Gentleman's Agreement,TRUE
1947,1948,5,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,Miracle On 34th Street,TRUE
1947,1948,5,Best Director - Motion Picture,Elia Kazan,Gentleman's Agreement,TRUE
1947,1948,5,Best Screenplay - Motion Picture,George Seaton,Miracle On 34th Street,TRUE
1947,1948,5,Best Original Score - Motion Picture,Max Steiner,Life With Father,TRUE
1947,1948,5,Special Achievement Award,Walt Disney,Bambi,FALSE
1947,1948,5,New Star Of The Year - Actress,Lois Maxwell,That Hagen Girl,TRUE
1947,1948,5,New Star Of The Year - Actor,Richard Widmark,Kiss Of Death,TRUE
1947,1948,5,Picture,Gentleman's Agreement,,TRUE
1947,1948,5,Juvenile Performance,Dean Stockwell,Gentleman's Agreement,TRUE
1947,1948,5,Actress In A Leading Role,Rosalind Russell,Mourning Becomes Electra,TRUE
1947,1948,5,Actor In A Leading Role,Ronald Colman,A Double Life,TRUE
1947,1948,5,Cinematography,Jack Cardiff,Black Narcissus,TRUE
1948,1949,6,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ellen Corby,I Remember Mama,TRUE
1948,1949,6,Best Performance by an Actor in a Supporting Role in any Motion Picture,Walter Huston,The Treasure of the Sierra Madre,TRUE
1948,1949,6,Best Director - Motion Picture,John Huston,The Treasure of the Sierra Madre,TRUE
1948,1949,6,Best Screenplay - Motion Picture,Richard Schweizer,The Search,TRUE
1948,1949,6,Best Original Score - Motion Picture,Brian Easdale,The Red Shoes,TRUE
1948,1949,6,Promoting International Understanding,Fred Zinnemann,The Search,TRUE
1948,1949,6,Picture,Johnny Belinda,,TRUE
1948,1949,6,Picture,The Treasure of the Sierra Madre,,TRUE
1948,1949,6,Juvenile Performance,Ivan Jandl,The Search,TRUE
1948,1949,6,Actress In A Leading Role,Jane Wyman,Johnny Belinda,TRUE
1948,1949,6,Actor In A Leading Role,Laurence Olivier,Hamlet (1948),TRUE
1948,1949,6,Foreign Film - English Language,"United Kingdom, Laurence Olivier",Hamlet (1948),TRUE
1948,1949,6,Cinematography,Gabriel Figueroa,The Pearl,TRUE
1949,1950,7,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mercedes McCambridge,All The King's Men,TRUE
1949,1950,7,Best Performance by an Actress in a Supporting Role in any Motion Picture,Miriam Hopkins,The Heiress,FALSE
1949,1950,7,Best Performance by an Actor in a Supporting Role in any Motion Picture,James Whitmore,Battleground,TRUE
1949,1950,7,Best Performance by an Actor in a Supporting Role in any Motion Picture,David Brian,Intruder In The Dust,FALSE
1949,1950,7,Best Director - Motion Picture,Robert Rossen,All The King's Men,TRUE
1949,1950,7,Best Director - Motion Picture,William Wyler,The Heiress,FALSE
1949,1950,7,Best Screenplay - Motion Picture,Robert Pirosh,Battleground,TRUE
1949,1950,7,Best Screenplay - Motion Picture,Walter Doniger,Rope of Sand,FALSE
1949,1950,7,Best Motion Picture - Foreign Language,The Bicycle Thief,"Italy, Vittorio De Sica",TRUE
1949,1950,7,Best Motion Picture - Foreign Language,The Fallen Idol,"United Kingdom, Carol Reed",FALSE
1949,1950,7,Best Original Score - Motion Picture,Johnny Green,The Inspector General,TRUE
1949,1950,7,Best Original Score - Motion Picture,George Duning,All The King's Men,FALSE
1949,1950,7,Promoting International Understanding,Vincent Sherman,The Hasty Heart,TRUE
1949,1950,7,Promoting International Understanding,Maurice Cloche,Monsieur Vincent,FALSE
1949,1950,7,New Star Of The Year - Actress,Mercedes McCambridge,All The King's Men,TRUE
1949,1950,7,New Star Of The Year - Actress,Ruth Roman,Champion,FALSE
1949,1950,7,New Star Of The Year - Actor,Richard Todd,The Hasty Heart,TRUE
1949,1950,7,New Star Of The Year - Actor,Juano Hernandez,Intruder In The Dust,FALSE
1949,1950,7,Outstanding Use Of Color,The Adventures of Ichabod and Mr. Toad,,TRUE
1949,1950,7,Outstanding Use Of Color,On The Town,,FALSE
1949,1950,7,Picture,All The King's Men,,TRUE
1949,1950,7,Picture,Come To The Stable,,FALSE
1949,1950,7,Actress In A Leading Role,Olivia de Havilland,The Heiress,TRUE
1949,1950,7,Actress In A Leading Role,Deborah Kerr,"Edward, My Son",FALSE
1949,1950,7,Actor In A Leading Role,Broderick Crawford,All The King's Men,TRUE
1949,1950,7,Actor In A Leading Role,Richard Todd,The Hasty Heart,FALSE
1949,1950,7,Cinematography,Franz F. Planer,Champion,TRUE
1949,1950,7,Cinematography,Burnett Guffey,All The King's Men,FALSE
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Gloria Swanson,Sunset Boulevard,TRUE
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Bette Davis,All About Eve,FALSE
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Judy Holliday,Born Yesterday,FALSE
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,José Ferrer,Cyrano de Bergerac (1950),TRUE
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,Louis Calhern,The Magnificent Yankee,FALSE
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,James Stewart,Harvey,FALSE
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Fred Astaire,Three Little Words,TRUE
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dan Dailey,When Willie Comes Marching Home,FALSE
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Harold Lloyd,The Sin Of Harold Diddlebock,FALSE
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Josephine Hull,Harvey,TRUE
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judy Holliday,Adam's Rib,FALSE
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Thelma Ritter,All About Eve,FALSE
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,Mister 880,TRUE
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,Erich von Stroheim,Sunset Boulevard,FALSE
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Sanders,All About Eve,FALSE
1950,1951,8,Best Director - Motion Picture,Billy Wilder,Sunset Boulevard,TRUE
1950,1951,8,Best Director - Motion Picture,George Cukor,Born Yesterday,FALSE
1950,1951,8,Best Director - Motion Picture,John Huston,The Asphalt Jungle,FALSE
1950,1951,8,Best Director - Motion Picture,Joseph L. Mankiewicz,All About Eve,FALSE
1950,1951,8,Best Screenplay - Motion Picture,Joseph L. Mankiewicz,All About Eve,TRUE
1950,1951,8,Best Screenplay - Motion Picture,"Charles Brackett, Billy Wilder, D. M. Marshman Jr.",Sunset Boulevard,FALSE
1950,1951,8,Best Screenplay - Motion Picture,"Ben Maddow, John Huston",The Asphalt Jungle,FALSE
1950,1951,8,Best Original Score - Motion Picture,Franz Waxman,Sunset Boulevard,TRUE
1950,1951,8,Best Original Score - Motion Picture,Leith Stevens,Destination Moon,FALSE
1950,1951,8,Best Original Score - Motion Picture,Bronislau Kaper,A Life Of Her Own,FALSE
1950,1951,8,Promoting International Understanding,Delmer Daves,Broken Arrow,TRUE
1950,1951,8,Promoting International Understanding,George Seaton,The Big Lift,FALSE
1950,1951,8,Promoting International Understanding,William A. Wellman,The Next Voice You Hear...,FALSE
1950,1951,8,New Star Of The Year,Gene Nelson,Tea For Two,TRUE
1950,1951,8,New Star Of The Year,Mala Powers,Cyrano de Bergerac (1950),FALSE
1950,1951,8,New Star Of The Year,Debbie Reynolds,Three Little Words,FALSE
1950,1951,8,Picture,Sunset Boulevard,,TRUE
1950,1951,8,Picture,Born Yesterday,,FALSE
1950,1951,8,Picture,Cyrano de Bergerac (1950),,FALSE
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Born Yesterday,TRUE
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Spring Byington,Louisa,FALSE
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Betty Hutton,Annie Get Your Gun,FALSE
1950,1951,8,Henrietta Award (World Film Favorites),Gregory Peck,,TRUE
1950,1951,8,Henrietta Award (World Film Favorites),Jane Wyman,,TRUE
1950,1951,8,Cinematography - Color,Robert L. Surtees,King Solomon's Mines,TRUE
1950,1951,8,Cinematography - Color,Ernest Palmer,Broken Arrow,FALSE
1950,1951,8,Cinematography - Color,George Barnes,Samson and Delilah,FALSE
1950,1951,8,Cinematography - Black And White,Franz F. Planer,Cyrano de Bergerac (1950),TRUE
1950,1951,8,Cinematography - Black And White,Harold Rosson,The Asphalt Jungle,FALSE
1950,1951,8,Cinematography - Black And White,John F. Seitz,Sunset Boulevard,FALSE
1951,1952,9,Best Motion Picture - Drama,A Place In The Sun,,TRUE
1951,1952,9,Best Motion Picture - Drama,Quo Vadis?,,FALSE
1951,1952,9,Best Motion Picture - Drama,A Streetcar Named Desire (1951),,FALSE
1951,1952,9,Best Motion Picture - Drama,Bright Victory,,FALSE
1951,1952,9,Best Motion Picture - Drama,Detective Story,,FALSE
1951,1952,9,Best Motion Picture - Musical or Comedy,An American In Paris,,TRUE
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Jane Wyman,The Blue Veil,TRUE
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Vivien Leigh,A Streetcar Named Desire (1951),FALSE
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Shelley Winters,A Place In The Sun,FALSE
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Fredric March,Death of a Salesman (1951),TRUE
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Kirk Douglas,Detective Story,FALSE
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Arthur Kennedy,Bright Victory,FALSE
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,On The Riviera,TRUE
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bing Crosby,Here Comes The Groom,FALSE
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gene Kelly,An American In Paris,FALSE
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Hunter,A Streetcar Named Desire (1951),TRUE
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,Detective Story,FALSE
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Thelma Ritter,"Mating Season, The",FALSE
1951,1952,9,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Ustinov,Quo Vadis?,TRUE
1951,1952,9,Best Director - Motion Picture,Laslo Benedek,Death of a Salesman (1951),TRUE
1951,1952,9,Best Director - Motion Picture,Vincente Minnelli,An American In Paris,FALSE
1951,1952,9,Best Director - Motion Picture,George Stevens,A Place In The Sun,FALSE
1951,1952,9,Best Screenplay - Motion Picture,Robert Buckner,Bright Victory,TRUE
1951,1952,9,Best Original Score - Motion Picture,Victor Young,September Affair,TRUE
1951,1952,9,Best Original Score - Motion Picture,Bernard Herrmann,The Day The Earth Stood Still,FALSE
1951,1952,9,Best Original Score - Motion Picture,Dimitri Tiomkin,The Well,FALSE
1951,1952,9,Promoting International Understanding,Robert Wise,The Day The Earth Stood Still,TRUE
1951,1952,9,Special Achievement Award,Alain Resnais,Pictura ,FALSE
1951,1952,9,New Star Of The Year - Actress,Pier Angeli,Teresa,TRUE
1951,1952,9,New Star Of The Year - Actor,Kevin McCarthy,Death of a Salesman (1951),TRUE
1951,1952,9,Actress In A Leading Role - Musical Or Comedy,June Allyson,Too Young To Kiss,TRUE
1951,1952,9,Henrietta Award (World Film Favorite),Esther Williams,,TRUE
1951,1952,9,Henrietta Award (World Film Favorite),Alan Ladd,,TRUE
1951,1952,9,Cinematography - Color,William V. Skall,Quo Vadis?,TRUE
1951,1952,9,Cinematography - Black And White,Franz F. Planer,Death of a Salesman (1951),TRUE
1951,1952,9,Cinematography - Black And White,Franz F. Planer,Decision Before Dawn,FALSE
